"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2019-01-31 22:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-31 23:00:00,="MAC030004404",1,"Channel 1",2,"East",696,0,"",,
2019-01-31 23:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 00:00:00,="MAC030004404",1,"Channel 1",2,"East",433,0,"",,
2019-02-01 00:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 01:00:00,="MAC030004404",1,"Channel 1",2,"East",394,0,"",,
2019-02-01 01:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 02:00:00,="MAC030004404",1,"Channel 1",2,"East",264,0,"",,
2019-02-01 02:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 03:00:00,="MAC030004404",1,"Channel 1",2,"East",230,0,"",,
2019-02-01 03:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 04:00:00,="MAC030004404",1,"Channel 1",2,"East",300,0,"",,
2019-02-01 04:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 05:00:00,="MAC030004404",1,"Channel 1",2,"East",578,0,"",,
2019-02-01 05:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 06:00:00,="MAC030004404",1,"Channel 1",2,"East",1363,0,"",,
2019-02-01 06:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 07:00:00,="MAC030004404",1,"Channel 1",2,"East",1236,0,"",,
2019-02-01 07:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 08:00:00,="MAC030004404",1,"Channel 1",2,"East",1081,0,"",,
2019-02-01 08:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 09:00:00,="MAC030004404",1,"Channel 1",2,"East",1295,0,"",,
2019-02-01 09:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-02-01 10:00:00,="MAC030004404",1,"Channel 1",2,"East",1409,0,"",,
2019-02-01 10:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
